INFO 2019-03-04 11:51:58,632 - Actor count = 17
INFO 2019-03-04 11:51:59,117 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/The_Hours_(film)
INFO 2019-03-04 11:51:59,117 - Movie count = 18
WARNING 2019-03-04 11:51:59,117 - Cannot fetch complete data from actor_url: https://wikipedia.org/wiki/George_Clooney
INFO 2019-03-04 11:51:59,589 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/Magnolia_(film)
INFO 2019-03-04 11:51:59,589 - Movie count = 19
INFO 2019-03-04 11:52:00,791 - Successfully fetch data from actor_url: https://wikipedia.org/wiki/Hugh_Laurie
INFO 2019-03-04 11:52:00,791 - Actor count = 18
WARNING 2019-03-04 11:52:01,196 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Ford_v._Ferrari
INFO 2019-03-04 11:52:02,355 - Successfully fetch data from actor_url: https://wikipedia.org/wiki/Britt_Robertson
INFO 2019-03-04 11:52:02,355 - Actor count = 19
WARNING 2019-03-04 11:52:02,721 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Honey_Boy_(film)
INFO 2019-03-04 11:52:03,700 - Successfully fetch data from actor_url: https://wikipedia.org/wiki/Raffey_Cassidy
INFO 2019-03-04 11:52:03,700 - Actor count = 20
INFO 2019-03-04 11:52:04,190 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/Holmes_%26_Watson
INFO 2019-03-04 11:52:04,190 - Movie count = 20
INFO 2019-03-04 11:52:04,737 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/A_Quiet_Place_(film)
INFO 2019-03-04 11:52:04,737 - Movie count = 21
WARNING 2019-03-04 11:52:05,129 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/The_Titan_(film)
INFO 2019-03-04 11:52:05,555 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/Wonder_(film)
INFO 2019-03-04 11:52:05,555 - Movie count = 22
WARNING 2019-03-04 11:52:05,555 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Suburbicon
WARNING 2019-03-04 11:52:05,934 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/That_Good_Night_(film)
INFO 2019-03-04 11:52:06,341 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/The_Man_with_the_Iron_Heart_(film)
INFO 2019-03-04 11:52:06,342 - Movie count = 23
WARNING 2019-03-04 11:52:06,838 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Star_Wars:_Episode_IX
WARNING 2019-03-04 11:52:07,301 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Gomez_Addams
WARNING 2019-03-04 11:52:07,697 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/The_Addams_Family_(2019_film)
WARNING 2019-03-04 11:52:08,042 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Triple_Frontier_(film)
WARNING 2019-03-04 11:52:08,590 - Cannot fetch complete data from movie_url: https://en.wikipedia.org/wiki/Spider-Man_2099
INFO 2019-03-04 11:52:09,197 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/Spider-Man:_Into_the_Spider-Verse
INFO 2019-03-04 11:52:09,197 - Movie count = 24
INFO 2019-03-04 11:52:09,620 - Successfully fetch data from film_url: https://en.wikipedia.org/wiki/Life_Itself_(2018_film)
INFO 2019-03-04 11:52:09,620 - Movie count = 25
